time_ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
1860,252,158,65,170,220,0,0,0
1870,252,159,66,171,219,0,0,0
1880,253,160,66,172,217,0,0,0
1890,253,161,67,172,215,0,0,0
1900,253,162,68,173,213,0,0,0
1910,254,162,68,174,211,0,0,0
1920,254,163,69,175,209,0,0,0
1930,254,164,70,175,207,0,0,0
1940,254,165,70,176,205,0,0,0
1950,255,166,71,177,202,0,0,0
1960,255,167,72,177,200,0,0,0
1970,255,167,73,178,198,0,0,0
1980,255,168,73,179,196,0,0,0
1990,255,169,74,180,194,0,0,0
2000,255,170,75,180,191,0,0,0
2010,255,171,75,181,189,0,0,0
2020,255,172,76,182,187,0,0,0
2030,255,173,77,182,184,0,0,0
2040,255,173,78,183,182,0,0,0
2050,255,174,78,184,179,0,0,0
2060,254,175,79,185,177,0,0,0
2070,254,176,80,185,174,0,0,0
2080,254,177,80,186,172,0,0,0
2090,254,178,81,187,169,0,0,0
2100,253,178,82,187,167,0,0,0
2110,253,179,83,188,164,0,0,0
2120,253,180,83,189,162,0,0,0
2130,252,181,84,189,159,0,0,0
2140,252,182,85,190,157,0,0,0
2150,251,183,86,191,154,0,0,0
2160,251,184,86,191,151,0,0,0
2170,250,184,87,192,149,0,0,0
2180,250,185,88,193,146,0,0,0
2190,249,186,89,193,143,0,0,0
2200,249,187,89,194,141,0,0,0
2210,248,188,90,195,138,0,0,0
2220,247,189,91,195,136,0,0,0
2230,247,190,92,196,133,0,0,0
2240,246,190,92,196,130,0,0,0
2250,245,191,93,197,128,0,0,0
2260,245,192,94,198,125,0,0,0
2270,244,193,95,198,122,0,0,0
2280,243,194,96,199,119,0,0,0
2290,242,195,96,200,117,0,0,0
2300,241,196,97,200,114,0,0,0
2310,240,196,98,201,112,0,0,0
2320,239,197,99,201,109,0,0,0
2330,238,198,100,202,106,0,0,0
2340,237,199,100,203,104,0,0,0
2350,236,200,101,203,101,0,0,0
2360,235,201,102,204,98,0,0,0
2370,234,201,103,205,96,0,0,0
2380,233,202,103,205,93,0,0,0
2390,232,203,104,206,91,0,0,0
2400,231,204,105,206,88,0,0,0
2410,229,205,106,207,86,0,0,0
